segment,ate_ci_low,ate_ci_high,causal_rate_ci_low,causal_rate_ci_high,net_contribution_low,net_contribution_high,corr_ate_rate,sd_net_joint,sd_net_revenue_only,sd_net_if_independent,n_draws
low spend,7.137551981765785,8.337334598103883,0.32992069032090515,0.36475720853595894,1.0514933261214423,1.427394866895455,0.8761976310381845,0.09232215461101785,0.14758654972862512,0.16354309940329612,50
mid spend,6.519913856797597,7.891369920225075,0.43950910086508116,0.47208526848106513,0.06431998410972495,0.5841170194268461,0.580740631132318,0.13393274877527597,0.15802741572381696,0.16716870302806114,50
high spend,3.3651994275052726,5.626025491036533,0.5846292147566389,0.6067996123721768,-2.3737868263103605,-1.394041238396637,0.335867663510694,0.28421333134772775,0.2952973968525507,0.29809658550330187,50
