segment,n,treated_share,ate,ci_low,ci_high
midwest,12119,0.3714002805512006,6.3143559919928425,5.389869319816064,7.513841419928281
northeast,10925,0.3783066361556064,5.541950567230104,4.3238496920498894,6.994924706306073
south,15497,0.37736336065044845,6.960680496596597,6.0047649502150415,8.122945546196561
west,11459,0.3655641853564883,6.921518796244332,5.858443611985515,8.207171354038078
