covariate,smd_unadjusted,smd_weighted,balanced_after
engagement,0.6599881485119827,0.0009812651045471997,True
log_prior_spend,0.5310097604560647,0.001853700710521125,True
log_tenure,0.3864856372814692,0.0010883887406392453,True
log_prior_orders,0.31314331026680803,-0.004801946503339969,True
acquisition_channel_social,-0.13526085480700267,0.0020990934408717608,True
acquisition_channel_paid_search,0.1217533636405867,0.0051622493441242576,True
acquisition_channel_referral,0.10137269531600586,0.004331009707807195,True
is_mobile,0.05015790454881497,0.006687606159507692,True
region_west,-0.017613747930991557,-0.0009146565341021126,True
region_south,0.01127988698770637,-0.001586862162003429,True
region_northeast,0.010581900948266854,-0.0018828676521229857,True
engagement_missing,0.0010941418466652198,0.0023619224283707714,True
